Frage,Antwort,Kategorie
Wie war der Schlusskurs des Tages?,243.2566680908203,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,248.163330078125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,239.06333923339844,Tiefstkurs
Wie hoch war das Handelsvolumen?,145914600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,245.0366668701172,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,246.94667053222656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,239.73333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,96735600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,251.9933319091797,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,258.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,249.6999969482422,Tiefstkurs
Wie hoch war das Handelsvolumen?,134100000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,272.0133361816406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,272.3299865722656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,258.3999938964844,Tiefstkurs
Wie hoch war das Handelsvolumen?,154496700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,293.3399963378906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,294.8299865722656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,279.46331787109375,Tiefstkurs
Wie hoch war das Handelsvolumen?,225166500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,270.39666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,284.80999755859375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,267.8733215332031,Tiefstkurs
Wie hoch war das Handelsvolumen?,177904800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,283.14666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,289.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,275.7799987792969,Tiefstkurs
Wie hoch war das Handelsvolumen?,138812100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,284.8033447265625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,286.8233337402344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,277.3333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,99937500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,281.6666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,287.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,279.5833435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,93798900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,275.38665771484375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,286.6333312988281,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,273.0333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,116332800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,281.51666259765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,283.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,277.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,76101000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,283.48333740234375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,286.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,279.09332275390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,76997700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,281.663330078125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,285.239990234375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,280.47332763671875,Tiefstkurs
Wie hoch war das Handelsvolumen?,61563300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,282.21331787109375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,282.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,276.2066650390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,60199500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,293.6000061035156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,300.1333312988281,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,279.6066589355469,Tiefstkurs
Wie hoch war das Handelsvolumen?,123520200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,294.36334228515625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,298.6333312988281,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,290.5333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,69394800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,288.0533447265625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,297.1666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,286.2200012207031,Tiefstkurs
Wie hoch war das Handelsvolumen?,82002000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,278.4766540527344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,282.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,267.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,79134000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,264.510009765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,280.8033447265625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,260.0333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,104972400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,279.9366760253906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,280.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,265.1866760253906,Tiefstkurs
Wie hoch war das Handelsvolumen?,76174200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,290.92999267578125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,293.5,Höchstkurs
